version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V3,3088017,UNCHANGED,,不投,不投,无，不投,无，不投,lower,lower,球半/两球,球半/两球,0,0,,,,,UNCHANGED
V3,3088363,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3089293,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3089294,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3089295,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3089767,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3089768,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球,半球,0,0,,,,,UNCHANGED
V3,3090892,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,卡里阿利（反向=下盘）,,lower,,平手/半球,0,0.75,,,,,team;side;line;water
V3,3093722,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V4_SHADOW,2916693,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,帕特罗纳图,neutral,receiving,,0.25,,0.81,,N,,-0.07907986111111104,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2916698,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,阿特兰大竞技,neutral,receiving,,0.5,,0.76,,N,,-0.11497142857142856,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2919908,UNCHANGED,,,,,,,,,,,,,,,,UNCHANGED
V4_SHADOW,2919912,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,斯柯维德,neutral,receiving,,1.0,,0.76,,N,,-0.03526315789473683,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2920149,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,FC阿尔兰达,neutral,receiving,,0.75,,0.84,,N,,-0.05816666666666667,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2920155,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,阿西里斯卡,neutral,receiving,,0.25,,0.85,,N,,-0.06206597222222221,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2924135,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
