统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,沙特,未知分类,平手/半球,>1.10,阻上/诱下,1,0,0,0,1,0,0.0,1.0,-0.5,1.11,-0.5,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,沙特,未知分类,半球/一球,0.81-0.90,诱上/阻下,2,1,0,0,0,1,0.5,0.5,-0.15,0.84,-0.075,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,阿根廷,未知分类,平手/半球,0.91-1.00,降温保护/诱下,2,2,0,0,0,0,1.0,0.0,2.0,1.0,1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,英格兰,杯赛,半球,>1.10,阻上/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,1.11,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,英格兰,杯赛,球半/两球,1.01-1.10,阻上/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,1.08,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,未识别,杯赛,半球,0.81-0.90,诱上/阻下,2,2,0,0,0,0,1.0,0.0,1.66,0.83,0.83,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,未识别,杯赛,平手/半球,0.91-1.00,诱下/上盘降温,1,0,0,0,0,1,0.0,1.0,-1.0,0.93,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,哥伦比亚,未知分类,平手/半球,1.01-1.10,阻上/诱下,1,0,0,0,1,0,0.0,1.0,-0.5,1.09,-0.5,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,美国,杯赛,球半,0.81-0.90,诱上/阻下,1,0,0,0,0,1,0.0,1.0,-1.0,0.84,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,巴西,杯赛,半球/一球,1.01-1.10,阻下/下盘保护,1,0,0,0,1,0,0.0,1.0,-0.5,1.03,-0.5,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
